month,available_date,gbm_usd_yoy_pct,gbm_fxn_yoy_pct,fx_effect_pp,usd_z,usd_score,fxn_z,fxn_score
2018-12,2019-01-31,2.313137990123684,5.257655935808734,-2.94451794568505,-0.611085959260381,39.81523401232698,-1.664380080632644,22.26033198945593
2019-01,2019-02-28,1.354263892779231,5.361343801225494,-4.007079908446263,-0.8206338380017019,36.3227693666383,-1.5028042822857801,24.953261961903664
2019-02,2019-03-31,0.15878900174893373,5.345401020577208,-5.186612018828274,-1.0766961731680231,32.05506378053295,-1.4704983414848454,25.49169430858591
2019-03,2019-04-30,0.3555042825303154,5.728133186580979,-5.372628904050663,-1.0100725892310858,33.16545684614857,-1.056083367090213,32.39861054849645
2019-04,2019-05-31,0.3220548798047597,5.800887330193653,-5.478832450388894,-0.9981616467649909,33.36397255391682,-0.963335221339144,33.94441297768093
2019-05,2019-06-30,1.2745713916345365,5.852763900063043,-4.578192508428507,-0.7638619075031594,37.268968208280675,-0.8946787593767984,35.088687343720025
2019-06,2019-07-31,2.369742136464136,5.854647290849185,-3.4849051543850487,-0.5009920503616162,41.65013249397306,-0.8779886144556542,35.366856425739094
2019-07,2019-08-31,4.0519090572202,5.833678553625678,-1.7817694964054773,-0.10258186552508887,48.29030224124852,-0.8848180358416576,35.25303273597237
2019-08,2019-09-30,4.240264752748932,6.111212740119131,-1.870947987370199,-0.05715329957412313,49.04744500709795,-0.5920619548377194,40.13230075270468
2019-09,2019-10-31,3.7392940670559947,6.250590124523511,-2.5112960574675167,-0.17606284922404683,47.06561917959922,-0.4431310201633046,42.61448299727826
2019-10,2019-11-30,4.928911755407865,6.420438036275251,-1.4915262808673857,0.11161294401819186,51.86021573363653,-0.2636825455417937,45.60529090763677
2019-11,2019-12-31,5.890089495406115,6.5405889345620505,-0.6504994391559356,0.3435536457005226,55.72589409500871,-0.13627596694160826,47.72873388430653
2019-12,2020-01-31,5.797539137447837,6.555418087743951,-0.7578789502961145,0.3177750085107845,55.29625014184641,-0.11954377236199211,48.0076037939668
2020-01,2020-02-29,5.07925266696263,6.4862071354504,-1.4069544684877693,0.1381395539747247,52.30232589957875,-0.19181861845393372,46.80302302576777
2020-02,2020-03-31,4.212573269475261,6.701785823471842,-2.4892125539965813,-0.0783066553897238,48.69488907683794,0.039959728088384744,50.66599546813975
